AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
149;842;OAK ST AND W KENT AV NORTH;"{""coordinates"": [-123.13042818179741, 49.20320452485882], ""type"": ""Point""}";Marpole
144;840;SW MARINE DRIVE AND HUDSON ST;"{""coordinates"": [-123.13479521519746, 49.20305952610115], ""type"": ""Point""}";Marpole
311;700;KOOTENAY ST AND E 22ND AV;"{""coordinates"": [-123.0262410660943, 49.25065595985847], ""type"": ""Point""}";Renfrew-Collingwood
303;700;CASSIAR ST AND E 22ND AV;"{""coordinates"": [-123.03106490078112, 49.25060204250344], ""type"": ""Point""}";Renfrew-Collingwood
135;826;W 67TH AV AND CARTIER ST;"{""coordinates"": [-123.13776073649034, 49.21084014272073], ""type"": ""Point""}";Marpole
218;790;E 49TH AV AND ELGIN ST;"{""coordinates"": [-123.08387260792827, 49.225391750664784], ""type"": ""Point""}";Sunset
216;765;WINDSOR ST AND E 47TH AV;"{""coordinates"": [-123.08518577256584, 49.227301320758876], ""type"": ""Point""}";Sunset
211;765;CHESTER ST AND E 47TH AV;"{""coordinates"": [-123.08932551606469, 49.22735458514443], ""type"": ""Point""}";Sunset
226;762;E 47TH AV AND INVERNESS ST;"{""coordinates"": [-123.07997192367439, 49.22778091522157], ""type"": ""Point""}";Sunset
226;758;E 45TH AV AND INVERNESS ST;"{""coordinates"": [-123.0799299184432, 49.22904670331886], ""type"": ""Point""}";Sunset
216;758;E 45TH AV AND WINDSOR ST;"{""coordinates"": [-123.0851402840044, 49.22909195986059], ""type"": ""Point""}";Sunset
212;758;PRINCE ALBERT ST AND E 45TH AV;"{""coordinates"": [-123.08790168083027, 49.22912716800367], ""type"": ""Point""}";Sunset
124;636;W 2ND AV AND FIR ST;"{""coordinates"": [-123.14079165843069, 49.26970370497959], ""type"": ""Point""}";Fairview
150;792;OAK ST AND W 50TH AV;"{""coordinates"": [-123.12834712689818, 49.22568411865373], ""type"": ""Point""}";Oakridge
161;796;W 52ND AV AND NEAL ST;"{""coordinates"": [-123.12232322499798, 49.22333562143369], ""type"": ""Point""}";Oakridge
187;702;E 21ST AV AND QUEBEC ST;"{""coordinates"": [-123.10290181304536, 49.25183270468083], ""type"": ""Point""}";Riley Park
187;703;E 22ND AV AND QUEBEC ST;"{""coordinates"": [-123.10293378985243, 49.25097383910449], ""type"": ""Point""}";Riley Park
184;703;W 22ND AV AND ONTARIO ST;"{""coordinates"": [-123.10489437670532, 49.25096308046306], ""type"": ""Point""}";Riley Park
184;694;W 19TH AV AND E 19TH AV;"{""coordinates"": [-123.1047665206171, 49.25376410218597], ""type"": ""Point""}";Riley Park
197;689;PRINCE EDWARD ST AND E 16TH AV;"{""coordinates"": [-123.09649581447859, 49.25653493406619], ""type"": ""Point""}";Mount Pleasant
191;689;WATSON ST AND E 16TH AV;"{""coordinates"": [-123.1006631227017, 49.25657474432054], ""type"": ""Point""}";Mount Pleasant
191;691;WATSON ST AND E 17TH AV;"{""coordinates"": [-123.10071898875421, 49.25567073924443], ""type"": ""Point""}";Riley Park
197;691;E 17TH AV AND PRINCE EDWARD ST;"{""coordinates"": [-123.09652755843231, 49.25563206657849], ""type"": ""Point""}";Riley Park
197;692;PRINCE EDWARD ST AND E 18TH AV;"{""coordinates"": [-123.09656007282925, 49.25473023274638], ""type"": ""Point""}";Riley Park
187;693;QUEBEC ST AND E 18TH AV;"{""coordinates"": [-123.10331546898966, 49.25464432289014], ""type"": ""Point""}";Riley Park
179;694;W 19TH AV AND COLUMBIA ST;"{""coordinates"": [-123.10982912418844, 49.253861190436965], ""type"": ""Point""}";Riley Park
197;665;E 11TH AV AND PRINCE EDWARD ST;"{""coordinates"": [-123.09617557795995, 49.260676975129726], ""type"": ""Point""}";Mount Pleasant
195;770;E 11TH AV AND KINGSWAY;"{""coordinates"": [-123.09776706798105, 49.26107966824709], ""type"": ""Point""}";Mount Pleasant
153;648;W 8TH AV AND LAUREL ST;"{""coordinates"": [-123.12415700243312, 49.26427890802951], ""type"": ""Point""}";Fairview
159;648;WILLOW ST AND W 8TH AV;"{""coordinates"": [-123.12178859554064, 49.26424082441607], ""type"": ""Point""}";Fairview
179;648;COLUMBIA ST AND W 8TH AV;"{""coordinates"": [-123.10945169056167, 49.26384934800459], ""type"": ""Point""}";Mount Pleasant
182;648;W 8TH AV AND MANITOBA ST;"{""coordinates"": [-123.10679785191138, 49.2638046246649], ""type"": ""Point""}";Mount Pleasant
173;648;W 8TH AV AND ALBERTA ST;"{""coordinates"": [-123.1109298339589, 49.263879232627275], ""type"": ""Point""}";Mount Pleasant
159;650;WILLOW ST AND W BROADWAY;"{""coordinates"": [-123.12182258522606, 49.26333024881384], ""type"": ""Point""}";Fairview
153;650;LAUREL ST AND W BROADWAY;"{""coordinates"": [-123.12419046680485, 49.263368053437915], ""type"": ""Point""}";Fairview
164;739;W 37TH AV AND MANSON ST;"{""coordinates"": [-123.11925270369977, 49.23735814952061], ""type"": ""Point""}";South Cambie
171;739;W 37TH AV AND KERSLAND DRIVE;"{""coordinates"": [-123.11448135341533, 49.237131384674235], ""type"": ""Point""}";Riley Park
175;739;W 37TH AV AND ALBERTA ST;"{""coordinates"": [-123.11327797127966, 49.23703662761084], ""type"": ""Point""}";Riley Park
177;739;ELIZABETH ST AND W 37TH AV;"{""coordinates"": [-123.11189330742236, 49.23705908889834], ""type"": ""Point""}";Riley Park
175;741;W 38TH AV AND ALBERTA ST;"{""coordinates"": [-123.11331425638171, 49.23621012658281], ""type"": ""Point""}";Riley Park
170;741;W 38TH AV AND CAMBIE ST;"{""coordinates"": [-123.11608100387836, 49.23631649199504], ""type"": ""Point""}";South Cambie
181;730;DINMONT AV AND MIDLOTHIAN AV;"{""coordinates"": [-123.11133750000316, 49.24485181694037], ""type"": ""Point""}";Riley Park
170;824;W 64TH AV AND CAMBIE ST;"{""coordinates"": [-123.11702477156103, 49.21230533462914], ""type"": ""Point""}";Marpole
170;822;CAMBIE ST AND W 63RD AV;"{""coordinates"": [-123.1169883796416, 49.2132103332481], ""type"": ""Point""}";Marpole
169;825;W 65TH AV AND LORD ST;"{""coordinates"": [-123.11859924917624, 49.211444211052466], ""type"": ""Point""}";Marpole
165;829;W 69TH AV AND ASH ST;"{""coordinates"": [-123.12032183843044, 49.209318560624595], ""type"": ""Point""}";Marpole
137;830;CARTIER PLACE AND W 70TH AV;"{""coordinates"": [-123.1370841715583, 49.208573567403015], ""type"": ""Point""}";Marpole
138;830;W 70TH AV AND MONTCALM ST;"{""coordinates"": [-123.135798624862, 49.20855429781993], ""type"": ""Point""}";Marpole
142;823;MONTCALM ST AND W 64TH AV;"{""coordinates"": [-123.1355872003947, 49.21307059555839], ""type"": ""Point""}";Marpole
090;825;ANGUS DRIVE AND W 66TH AV;"{""coordinates"": [-123.14855262603395, 49.21150239489376], ""type"": ""Point""}";Marpole
124;825;ADERA ST AND W 66TH AV;"{""coordinates"": [-123.14359720302888, 49.211418034098315], ""type"": ""Point""}";Marpole
130;825;W 66TH AV AND GRANVILLE ST;"{""coordinates"": [-123.14042853694843, 49.21136665378564], ""type"": ""Point""}";Marpole
125;827;W 68TH AV AND CORNISH ST;"{""coordinates"": [-123.14203378614373, 49.2105389324232], ""type"": ""Point""}";Marpole
130;826;GRANVILLE ST AND W 67TH AV;"{""coordinates"": [-123.14044474616986, 49.210884666451825], ""type"": ""Point""}";Marpole
124;823;ADERA ST AND W 64TH AV;"{""coordinates"": [-123.14353043273695, 49.21319632362957], ""type"": ""Point""}";Marpole
130;823;GRANVILLE ST AND W 64TH AV;"{""coordinates"": [-123.14036896796884, 49.213143700360554], ""type"": ""Point""}";Marpole
153;826;W 67TH AV AND LAUREL ST;"{""coordinates"": [-123.12602951857198, 49.210667677545835], ""type"": ""Point""}";Marpole
150;823;OAK ST AND W 64TH AV;"{""coordinates"": [-123.13009577083525, 49.21298812748618], ""type"": ""Point""}";Marpole
150;769;OAK ST AND W 48TH AV;"{""coordinates"": [-123.12829348514046, 49.227483833912224], ""type"": ""Point""}";Oakridge
171;769;YUKON ST AND W 48TH AV;"{""coordinates"": [-123.11462857003396, 49.22693570098751], ""type"": ""Point""}";Oakridge
170;769;W 48TH AV AND CAMBIE ST;"{""coordinates"": [-123.11645649679339, 49.22700386482191], ""type"": ""Point""}";Oakridge
170;790;W 49TH AV AND CAMBIE ST;"{""coordinates"": [-123.11649235311131, 49.22611399912319], ""type"": ""Point""}";Oakridge
165;790;W 49TH AV AND ASH ST;"{""coordinates"": [-123.11811422146862, 49.22617499521042], ""type"": ""Point""}";Oakridge
170;792;CAMBIE ST AND W 50TH AV;"{""coordinates"": [-123.1165284850295, 49.22520169880256], ""type"": ""Point""}";Oakridge
253;695;VICTORIA DIVERSION AND VICTORIA DRIVE;"{""coordinates"": [-123.06612679404222, 49.252880509843905], ""type"": ""Point""}";Kensington-Cedar Cottage
228;692;E 18TH AV AND CLARK DRIVE;"{""coordinates"": [-123.0778785220557, 49.25443522401843], ""type"": ""Point""}";Kensington-Cedar Cottage
197;770;E 13TH AV AND KINGSWAY;"{""coordinates"": [-123.0956663716539, 49.25924160024462], ""type"": ""Point""}";Mount Pleasant
206;683;CAROLINA ST AND E 13TH AV;"{""coordinates"": [-123.09111562052948, 49.25882765794703], ""type"": ""Point""}";Mount Pleasant
194;684;SOPHIA ST AND E 14TH AV;"{""coordinates"": [-123.0983697137015, 49.25837710306811], ""type"": ""Point""}";Mount Pleasant
182;684;W 14TH AV AND MANITOBA ST;"{""coordinates"": [-123.10703344986631, 49.25849833924948], ""type"": ""Point""}";Mount Pleasant
184;687;ONTARIO ST AND W 15TH AV;"{""coordinates"": [-123.10513103294153, 49.25755999609297], ""type"": ""Point""}";Mount Pleasant
186;687;QUEBEC ST AND E 15TH AV;"{""coordinates"": [-123.10319322042736, 49.257525762262325], ""type"": ""Point""}";Mount Pleasant
201;682;ST. GEORGE ST AND E 13TH AV;"{""coordinates"": [-123.09304259544169, 49.25929567231927], ""type"": ""Point""}";Mount Pleasant
198;682;E 13TH AV AND GUELPH ST;"{""coordinates"": [-123.09497681958445, 49.2593111264387], ""type"": ""Point""}";Mount Pleasant
069;670;KITSILANO DIVERSION AND W 10TH AV;"{""coordinates"": [-123.16960900860386, 49.263225150006804], ""type"": ""Point""}";Kitsilano
166;839;WALKWAY AND W KENT AV SOUTH;"{""coordinates"": [-123.11532321066618, 49.205873568392164], ""type"": ""Point""}";Marpole
170;837;W KENT AV NORTH AND CAMBIE ST;"{""coordinates"": [-123.11734143463974, 49.20606840677958], ""type"": ""Point""}";Marpole
172;830;SW MARINE DRIVE AND YUKON ST;"{""coordinates"": [-123.11505996548489, 49.21096218016894], ""type"": ""Point""}";Marpole
170;830;CAMBIE ST AND SW MARINE DRIVE;"{""coordinates"": [-123.11711072835985, 49.210144948038646], ""type"": ""Point""}";Marpole
184;822;E 63RD AV AND W 63RD AV;"{""coordinates"": [-123.10648192510894, 49.21334514403642], ""type"": ""Point""}";Marpole
181;822;W 63RD AV AND MANITOBA ST;"{""coordinates"": [-123.10993082700779, 49.21337693184532], ""type"": ""Point""}";Marpole
176;822;COLUMBIA ST AND W 63RD AV;"{""coordinates"": [-123.11273117663171, 49.21336002025489], ""type"": ""Point""}";Marpole
190;824;MAIN ST AND E 64TH AV;"{""coordinates"": [-123.10213694532945, 49.21241122826714], ""type"": ""Point""}";Sunset
181;830;MANITOBA ST AND SW MARINE DRIVE;"{""coordinates"": [-123.1099721456133, 49.21218982064651], ""type"": ""Point""}";Marpole
181;832;MANITOBA ST AND W 69TH AV;"{""coordinates"": [-123.11013183085923, 49.20950158839041], ""type"": ""Point""}";Marpole
032;710;W KING EDWARD AV AND CROWN ST;"{""coordinates"": [-123.19360920460313, 49.25009303601534], ""type"": ""Point""}";Dunbar-Southlands
030;706;CAMOSUN ST AND W 23RD AV;"{""coordinates"": [-123.19661053159177, 49.25200386167089], ""type"": ""Point""}";
151;843;W KENT AV SOUTH AND SHAUGHNESSY ST;"{""coordinates"": [-123.1274275994395, 49.20360054606303], ""type"": ""Point""}";Marpole
151;830;SHAUGHNESSY ST AND W 70TH AV;"{""coordinates"": [-123.12886767894037, 49.208450184054186], ""type"": ""Point""}";Marpole
152;830;W 70TH AV AND FREMLIN ST;"{""coordinates"": [-123.12748303538629, 49.20842894448021], ""type"": ""Point""}";Marpole
155;830;LOGAN ST AND W 70TH AV;"{""coordinates"": [-123.12498373566986, 49.2083906933229], ""type"": ""Point""}";Marpole
156;829;W 69TH AV AND HEATHER ST;"{""coordinates"": [-123.12417202608269, 49.20918900146569], ""type"": ""Point""}";Marpole
156;828;W 68TH AV AND HEATHER ST;"{""coordinates"": [-123.12414725660337, 49.209912240522826], ""type"": ""Point""}";Marpole
156;825;W 66TH AV AND HEATHER ST;"{""coordinates"": [-123.12409756006932, 49.211356946445086], ""type"": ""Point""}";Marpole
145;830;SELKIRK ST AND W 70TH AV;"{""coordinates"": [-123.13327767669894, 49.20851673731736], ""type"": ""Point""}";Marpole
250;685;COMMERCIAL DRIVE AND E 15TH AV;"{""coordinates"": [-123.06986785025873, 49.25684630577083], ""type"": ""Point""}";Kensington-Cedar Cottage
250;684;E 14TH AV AND COMMERCIAL DRIVE;"{""coordinates"": [-123.06985087535516, 49.25775013720356], ""type"": ""Point""}";Kensington-Cedar Cottage
230;665;CLARK DRIVE AND E 11TH AV;"{""coordinates"": [-123.07753725611745, 49.26052678793284], ""type"": ""Point""}";Mount Pleasant
228;687;CLARK DRIVE AND E 15TH AV;"{""coordinates"": [-123.07779744272209, 49.256681744266665], ""type"": ""Point""}";Mount Pleasant
228;689;E 16TH AV AND CLARK DRIVE;"{""coordinates"": [-123.07781287461732, 49.25624390072568], ""type"": ""Point""}";Mount Pleasant
259;656;GRANDVIEW HWY NORTH AND LAKEWOOD DRIVE;"{""coordinates"": [-123.06205642194713, 49.26065105367446], ""type"": ""Point""}";Kensington-Cedar Cottage
261;666;E 11TH AV AND GRANDVIEW HWY NORTH;"{""coordinates"": [-123.06143470020034, 49.26040160695927], ""type"": ""Point""}";Kensington-Cedar Cottage
266;667;GRANDVIEW HWY NORTH AND E 12TH AV;"{""coordinates"": [-123.05913941450163, 49.259481074428805], ""type"": ""Point""}";Kensington-Cedar Cottage
265;683;E 13TH AV AND TEMPLETON DRIVE;"{""coordinates"": [-123.06016164938714, 49.25858399392577], ""type"": ""Point""}";Kensington-Cedar Cottage
255;683;E 13TH AV AND SEMLIN DRIVE;"{""coordinates"": [-123.064029125874, 49.258612499084386], ""type"": ""Point""}";Kensington-Cedar Cottage
250;650;E BROADWAY AND COMMERCIAL DRIVE;"{""coordinates"": [-123.06976268143181, 49.262319460468866], ""type"": ""Point""}";Grandview-Woodland
250;655;E 10TH AV AND COMMERCIAL DRIVE;"{""coordinates"": [-123.06978107885315, 49.261369582438384], ""type"": ""Point""}";Kensington-Cedar Cottage
058;640;BALACLAVA ST AND W 4TH AV;"{""coordinates"": [-123.1738209340501, 49.268437045446916], ""type"": ""Point""}";Kitsilano
058;643;W 6TH AV AND BALACLAVA ST;"{""coordinates"": [-123.17388346228205, 49.26672320316706], ""type"": ""Point""}";Kitsilano
062;648;BAYSWATER ST AND W 8TH AV;"{""coordinates"": [-123.17118659113677, 49.26500522402913], ""type"": ""Point""}";Kitsilano
062;643;W 6TH AV AND BAYSWATER ST;"{""coordinates"": [-123.17112703125142, 49.26668170384469], ""type"": ""Point""}";Kitsilano
062;642;W 5TH AV AND BAYSWATER ST;"{""coordinates"": [-123.17109724181078, 49.267519606251106], ""type"": ""Point""}";Kitsilano
062;638;BAYSWATER ST AND W 3RD AV;"{""coordinates"": [-123.171051099017, 49.26930934198705], ""type"": ""Point""}";Kitsilano
062;636;W 2ND AV AND BAYSWATER ST;"{""coordinates"": [-123.17100251529723, 49.27018697661645], ""type"": ""Point""}";Kitsilano
058;650;BALACLAVA ST AND W BROADWAY;"{""coordinates"": [-123.17397631675047, 49.26417133906958], ""type"": ""Point""}";Kitsilano
061;650;CARNARVON ST AND W BROADWAY;"{""coordinates"": [-123.17204265234969, 49.264137722962886], ""type"": ""Point""}";Kitsilano
062;650;BAYSWATER ST AND W BROADWAY;"{""coordinates"": [-123.17121790388188, 49.2641237821645], ""type"": ""Point""}";Kitsilano
067;670;MACKENZIE ST AND W 10TH AV;"{""coordinates"": [-123.1701409500576, 49.26323343508301], ""type"": ""Point""}";Kitsilano
067;678;W 12TH AV AND MACKENZIE ST;"{""coordinates"": [-123.17020746842665, 49.261405654045944], ""type"": ""Point""}";Kitsilano
050;646;W 7TH AV AND BLENHEIM ST;"{""coordinates"": [-123.1777809994227, 49.26594343233629], ""type"": ""Point""}";Kitsilano
045;678;WATERLOO ST AND W 12TH AV;"{""coordinates"": [-123.17994510429457, 49.261556923276075], ""type"": ""Point""}";Kitsilano
045;683;WATERLOO ST AND W 13TH AV;"{""coordinates"": [-123.17997953579032, 49.26065060182066], ""type"": ""Point""}";Kitsilano
179;697;W 20TH AV AND COLUMBIA ST;"{""coordinates"": [-123.10987457285282, 49.252847655540776], ""type"": ""Point""}";Riley Park
179;703;W 22ND AV AND COLUMBIA ST;"{""coordinates"": [-123.10995403961024, 49.25105906847198], ""type"": ""Point""}";Riley Park
210;830;FRASER ST AND SE MARINE DRIVE;"{""coordinates"": [-123.09110215997937, 49.21101286704596], ""type"": ""Point""}";Sunset
210;821;FRASER ST AND E 63RD AV;"{""coordinates"": [-123.09104510702112, 49.21299912517849], ""type"": ""Point""}";Sunset
203;821;POPLAR ST AND E 63RD AV;"{""coordinates"": [-123.09328896525753, 49.213140989461714], ""type"": ""Point""}";Sunset
190;839;MAIN ST AND E KENT AV SOUTH;"{""coordinates"": [-123.10245625540108, 49.2069607441273], ""type"": ""Point""}";Sunset
190;832;MAIN ST AND E 69TH AV;"{""coordinates"": [-123.10231217164963, 49.20933004301324], ""type"": ""Point""}";Sunset
195;830;SE MARINE DRIVE AND SOPHIA ST;"{""coordinates"": [-123.1003104004955, 49.210775542732776], ""type"": ""Point""}";Sunset
201;814;ST. GEORGE ST AND E 60TH AV;"{""coordinates"": [-123.09416617439594, 49.21569308486487], ""type"": ""Point""}";Sunset
197;814;PRINCE EDWARD ST AND E 60TH AV;"{""coordinates"": [-123.09784735685878, 49.21577204423245], ""type"": ""Point""}";Sunset
210;812;E 58TH AV AND FRASER ST;"{""coordinates"": [-123.09098575631988, 49.21713235979323], ""type"": ""Point""}";Sunset
197;811;E 58TH AV AND PRINCE EDWARD ST;"{""coordinates"": [-123.0977929567996, 49.217527842849805], ""type"": ""Point""}";Sunset
024;632;BELMONT AV AND SASAMAT ST;"{""coordinates"": [-123.20874331760298, 49.2736958449029], ""type"": ""Point""}";West Point Grey
024;633;LANGARA AV AND SASAMAT ST;"{""coordinates"": [-123.20877258017681, 49.27291268814486], ""type"": ""Point""}";West Point Grey
022;636;W 2ND AV AND TOLMIE ST;"{""coordinates"": [-123.21186711033036, 49.27139210191213], ""type"": ""Point""}";West Point Grey
020;635;DRUMMOND DRIVE AND BLANCA ST;"{""coordinates"": [-123.21489624717876, 49.272614397649114], ""type"": ""Point""}";West Point Grey
161;614;MARINASIDE CRESCENT AND DRAKE ST;"{""coordinates"": [-123.12140338057756, 49.271959434942985], ""type"": ""Point""}";Downtown
024;630;SASAMAT ST AND NW MARINE DRIVE;"{""coordinates"": [-123.20871612058262, 49.27444417741363], ""type"": ""Point""}";West Point Grey
024;642;W 5TH AV AND SASAMAT ST;"{""coordinates"": [-123.2089445860048, 49.268137805130365], ""type"": ""Point""}";West Point Grey
022;642;W 5TH AV AND TOLMIE ST;"{""coordinates"": [-123.21198205785747, 49.26818620758884], ""type"": ""Point""}";West Point Grey
024;637;BELLEVUE DRIVE AND SASAMAT ST;"{""coordinates"": [-123.20889144325862, 49.2696091928106], ""type"": ""Point""}";West Point Grey
025;640;W 4TH AV AND SASAMAT PLACE;"{""coordinates"": [-123.20770229924332, 49.268991998786895], ""type"": ""Point""}";West Point Grey
028;640;W 4TH AV AND TRIMBLE ST;"{""coordinates"": [-123.20587307758613, 49.268962988744995], ""type"": ""Point""}";West Point Grey
022;640;TOLMIE ST AND W 4TH AV;"{""coordinates"": [-123.21195077848131, 49.2690572886544], ""type"": ""Point""}";West Point Grey
029;637;DISCOVERY ST AND W 3RD AV;"{""coordinates"": [-123.20279111317025, 49.270112835690504], ""type"": ""Point""}";West Point Grey
026;634;W 1ST AV AND TRIMBLE ST;"{""coordinates"": [-123.20576051864732, 49.272081852565854], ""type"": ""Point""}";West Point Grey
022;637;W 3RD AV AND TOLMIE ST;"{""coordinates"": [-123.2119086686154, 49.27023390250516], ""type"": ""Point""}";West Point Grey
030;632;BELMONT AV AND NW MARINE DRIVE;"{""coordinates"": [-123.20570364505932, 49.27364840455466], ""type"": ""Point""}";West Point Grey
030;636;DISCOVERY ST AND NW MARINE DRIVE;"{""coordinates"": [-123.20273687972326, 49.271574534034876], ""type"": ""Point""}";West Point Grey
027;683;W 13TH AV AND DISCOVERY ST;"{""coordinates"": [-123.2031176564792, 49.26100383944529], ""type"": ""Point""}";West Point Grey
026;683;TRIMBLE ST AND W 13TH AV;"{""coordinates"": [-123.2061586046013, 49.261049663192445], ""type"": ""Point""}";West Point Grey
300;750;RUPERT ST AND E 41ST AV;"{""coordinates"": [-123.04309226965945, 49.232967344637196], ""type"": ""Point""}";Renfrew-Collingwood
150;813;W 59TH AV AND OAK ST;"{""coordinates"": [-123.12928944119503, 49.21712058431058], ""type"": ""Point""}";Marpole
142;813;MONTCALM ST AND W 59TH AV;"{""coordinates"": [-123.13546185329676, 49.21728634609962], ""type"": ""Point""}";Marpole
165;818;ASH ST AND W 62ND AV;"{""coordinates"": [-123.12011453652391, 49.214198396147644], ""type"": ""Point""}";Marpole
165;816;W 61ST AV AND ASH ST;"{""coordinates"": [-123.12008333534675, 49.21510348001304], ""type"": ""Point""}";Marpole
175;813;W 59TH AV AND ALBERTA ST;"{""coordinates"": [-123.1133184958893, 49.21690530483321], ""type"": ""Point""}";Marpole
316;725;OBEN ST AND FOSTER AV;"{""coordinates"": [-123.02700393891378, 49.23412478715895], ""type"": ""Point""}";Renfrew-Collingwood
314;770;MELBOURNE ST AND KINGSWAY;"{""coordinates"": [-123.02927540958403, 49.23203231612512], ""type"": ""Point""}";Renfrew-Collingwood
317;770;LINCOLN ST AND KINGSWAY;"{""coordinates"": [-123.02648069032175, 49.23217130156963], ""type"": ""Point""}";Renfrew-Collingwood
309;751;LATTA ST AND SCHOOL AV;"{""coordinates"": [-123.03454595338326, 49.23187388406473], ""type"": ""Point""}";Killarney
304;750;MCKINNON ST AND E 41ST AV;"{""coordinates"": [-123.03878580526407, 49.232950232613504], ""type"": ""Point""}";Renfrew-Collingwood
302;750;E 41ST AV AND KERR ST;"{""coordinates"": [-123.04022792858446, 49.232962782543225], ""type"": ""Point""}";Renfrew-Collingwood
306;770;E 41ST AV AND JOYCE ST;"{""coordinates"": [-123.03741067890464, 49.233035556321184], ""type"": ""Point""}";Renfrew-Collingwood
304;742;SCHOOL AV AND MCKINNON ST;"{""coordinates"": [-123.0390427738669, 49.233830799145494], ""type"": ""Point""}";Renfrew-Collingwood
301;742;SCHOOL AV AND LANCASTER ST;"{""coordinates"": [-123.04170840338548, 49.23488364302494], ""type"": ""Point""}";Renfrew-Collingwood
302;742;KERR ST AND SCHOOL AV;"{""coordinates"": [-123.04023497638117, 49.23431725798887], ""type"": ""Point""}";Renfrew-Collingwood
042;691;COLLINGWOOD ST AND W 17TH AV;"{""coordinates"": [-123.18181759511738, 49.257303194125996], ""type"": ""Point""}";Dunbar-Southlands
042;692;W 18TH AV AND COLLINGWOOD ST;"{""coordinates"": [-123.18182419463632, 49.25646969556913], ""type"": ""Point""}";Dunbar-Southlands
043;692;W 18TH AV AND QUADRA ST;"{""coordinates"": [-123.18008024247746, 49.25646308090652], ""type"": ""Point""}";Dunbar-Southlands
045;690;QUESNEL DRIVE AND W 16TH AV;"{""coordinates"": [-123.18079677553276, 49.25786418178773], ""type"": ""Point""}";Kitsilano
045;690;W 16TH AV AND WATERLOO ST;"{""coordinates"": [-123.18007793266773, 49.25785291800853], ""type"": ""Point""}";Kitsilano
042;690;W 16TH AV AND COLLINGWOOD ST;"{""coordinates"": [-123.18181300551232, 49.25787951608411], ""type"": ""Point""}";Kitsilano
277;638;KASLO ST AND E 5TH AV;"{""coordinates"": [-123.0469975506225, 49.26571901563771], ""type"": ""Point""}";Hastings-Sunrise
289;638;E 5TH AV AND LILLOOET ST;"{""coordinates"": [-123.03901195114511, 49.26569374294527], ""type"": ""Point""}";Hastings-Sunrise
302;634;E 4TH AV AND CASSIAR ST;"{""coordinates"": [-123.03101071743129, 49.26663275667098], ""type"": ""Point""}";Hastings-Sunrise
302;638;E 5TH AV AND CASSIAR ST;"{""coordinates"": [-123.03100953866398, 49.265673005137046], ""type"": ""Point""}";Hastings-Sunrise
305;634;SKEENA ST AND E 4TH AV;"{""coordinates"": [-123.02849420089481, 49.26663641807027], ""type"": ""Point""}";Hastings-Sunrise
296;641;E 6TH AV AND WINDERMERE ST;"{""coordinates"": [-123.03648728235703, 49.264735274538744], ""type"": ""Point""}";Hastings-Sunrise
265;641;E 6TH AV AND TEMPLETON DRIVE;"{""coordinates"": [-123.06004033458696, 49.26500480000044], ""type"": ""Point""}";Grandview-Woodland
255;638;E 5TH AV AND SEMLIN DRIVE;"{""coordinates"": [-123.06389001593188, 49.26593645532848], ""type"": ""Point""}";Grandview-Woodland
219;730;E 33RD AV AND ELGIN ST;"{""coordinates"": [-123.0828309372257, 49.24025340728111], ""type"": ""Point""}";Kensington-Cedar Cottage
217;730;WINDSOR ST AND E 33RD AV;"{""coordinates"": [-123.08411607189656, 49.2402617977783], ""type"": ""Point""}";Kensington-Cedar Cottage
214;719;ST. CATHERINES ST AND E 29TH AV;"{""coordinates"": [-123.08591506113586, 49.244629551105746], ""type"": ""Point""}";Kensington-Cedar Cottage
090;755;W 43RD AV AND WEST BOULEVARD;"{""coordinates"": [-123.15562942862759, 49.23272022216134], ""type"": ""Point""}";Kerrisdale
221;741;ROSS ST AND E 37TH AV;"{""coordinates"": [-123.08247577278583, 49.23645465475761], ""type"": ""Point""}";Kensington-Cedar Cottage
224;741;E 37TH AV AND SHERBROOKE ST;"{""coordinates"": [-123.08136349904277, 49.236440529365275], ""type"": ""Point""}";Kensington-Cedar Cottage
225;741;E 37TH AV AND INVERNESS ST;"{""coordinates"": [-123.0802489582131, 49.23642572019525], ""type"": ""Point""}";Kensington-Cedar Cottage
270;601;NANAIMO ST AND PARKER ST;"{""coordinates"": [-123.05657791341673, 49.27565630812864], ""type"": ""Point""}";Grandview-Woodland
131;614;ROLSTON ST AND DRAKE ST;"{""coordinates"": [-123.12728661207842, 49.27576630904572], ""type"": ""Point""}";Downtown
161;600;GEORGIA VIADUCT AND CITADEL PARADE;"{""coordinates"": [-123.1116986907591, 49.27836693468022], ""type"": ""Point""}";Downtown
206;615;CAROLINA ST AND EVANS AV;"{""coordinates"": [-123.08907367452265, 49.272101752320694], ""type"": ""Point""}";Strathcona
138;817;BIRCH ST AND W 62ND AV;"{""coordinates"": [-123.13627244081788, 49.21497898445135], ""type"": ""Point""}";Marpole
124;817;W 62ND AV AND ADERA ST;"{""coordinates"": [-123.14346366917081, 49.21498803352597], ""type"": ""Point""}";Marpole
150;802;OAK ST AND W 54TH AV;"{""coordinates"": [-123.12849354541822, 49.2215417961434], ""type"": ""Point""}";Oakridge
175;811;W 58TH AV AND ALBERTA ST;"{""coordinates"": [-123.11328338979001, 49.21779107737231], ""type"": ""Point""}";Marpole
152;815;FREMLIN ST AND W 61ST AV;"{""coordinates"": [-123.12723946515506, 49.21558237377071], ""type"": ""Point""}";Marpole
